time,hex_id,num_vehicles,avg_speed,avg_sin,avg_cos,weather,label
0,1_4,1,13.89,0.03891101664102858,0.9992426796249055,1.0,1
1,1_4,2,12.705,0.03891101664102858,0.9992426796249055,1.0,1
1,3_5,1,13.89,0.7942025579772133,-0.6076531057292895,1.0,1
1,6_7,1,13.89,0.07741508350801171,0.9969989492699817,1.0,1
1,6_9,1,13.89,-0.03053851320982266,-0.9995335908367129,1.0,1
1,7_1,1,13.89,0.10539630743387979,-0.9944302984017045,1.0,1
2,12_6,1,13.89,0.06993058045255512,-0.9975518602647026,1.0,1
2,1_4,3,11.476666666666667,0.03891101664102858,0.9992426796249055,1.0,1
2,3_3,1,13.89,-0.6363475293115821,0.7714025031972901,1.0,1
2,3_5,1,13.89,0.7942025579772133,-0.6076531057292895,1.0,1
2,5_8,1,13.89,-0.25156263237634396,0.9678410210318038,1.0,1
2,6_7,1,13.89,0.07741508350801171,0.9969989492699817,1.0,1
2,6_9,1,13.89,-0.03053851320982266,-0.9995335908367129,1.0,1
2,7_1,1,13.89,0.10539630743387979,-0.9944302984017045,1.0,1
2,8_11,1,13.89,-0.9997346290416701,0.023036308187606193,1.0,1
2,8_7,1,8.94,-0.6231973539694503,0.7820646124237278,1.0,1
3,12_6,1,13.89,0.06993058045255512,-0.9975518602647026,1.0,1
3,1_4,4,10.125,0.03891101664102858,0.9992426796249055,1.0,1
3,3_3,2,12.705,-0.6363475293115821,0.7714025031972901,1.0,1
3,3_5,1,13.89,0.7942025579772133,-0.6076531057292895,1.0,1
3,5_8,1,13.89,-0.25156263237634396,0.9678410210318038,1.0,1
3,6_7,1,13.89,0.07741508350801171,0.9969989492699817,1.0,1
3,6_9,1,13.89,-0.03053851320982266,-0.9995335908367129,1.0,1
3,7_1,1,13.89,0.10539630743387979,-0.9944302984017045,1.0,1
3,7_5,1,13.89,-0.19782842696335967,-0.9802366619777096,1.0,1
3,8_11,1,13.89,-0.9997346290416701,0.023036308187606193,1.0,1
3,8_2,1,13.89,0.3674753565882333,-0.9300332587065641,1.0,1
3,8_7,1,8.89,-0.6231973539694503,0.7820646124237278,1.0,1
3,9_2,1,13.89,0.2549394954004769,-0.9669570071543772,1.0,1
4,12_6,1,13.89,0.06993058045255512,-0.9975518602647026,1.0,1
4,1_4,5,11.308000000000002,0.03891101664102858,0.9992426796249056,1.0,1
4,2_7,1,1.51,-0.96862655094952,0.24852083372553874,1.0,1
4,3_11,2,13.89,-0.6219681214153641,0.7830425633023042,1.0,1
4,3_3,2,12.705,-0.6363475293115821,0.7714025031972901,1.0,1
4,3_5,1,13.89,0.8044793167052476,-0.593980663821187,1.0,1
4,4_4,1,13.89,0.17020949916603256,0.9854078984834901,1.0,1
4,5_8,1,13.89,-0.25156263237634396,0.9678410210318038,1.0,1
4,6_10,1,13.89,-0.8366687329036697,0.5477092580752745,1.0,1
4,6_7,1,13.89,0.07741508350801171,0.9969989492699817,1.0,1
4,6_9,1,13.89,-0.03053851320982266,-0.9995335908367129,1.0,1
4,7_1,1,13.89,0.10539630743387979,-0.9944302984017045,1.0,1
4,7_5,1,13.89,-0.19782842696335967,-0.9802366619777096,1.0,1
4,8_11,1,13.89,-0.9997346290416701,0.023036308187606193,1.0,1
4,8_2,1,13.89,0.3674753565882333,-0.9300332587065641,1.0,1
4,8_7,1,11.49,-0.9866575436397382,0.16280937190099948,1.0,1
4,9_2,3,13.89,0.2549394954004769,-0.966957007154377,1.0,1
5,12_6,1,13.89,0.06993058045255512,-0.9975518602647026,1.0,1
5,1_4,6,10.676666666666668,0.03891101664102858,0.9992426796249055,1.0,1
5,2_7,1,1.51,-0.96862655094952,0.24852083372553874,1.0,1
5,3_11,2,13.89,-0.6219681214153641,0.7830425633023042,1.0,1
5,3_3,3,13.363333333333335,-0.6363475293115821,0.7714025031972901,1.0,1
5,3_5,1,13.89,0.810961712262503,-0.5850992234179339,1.0,1
5,4_4,1,13.89,0.17020949916603256,0.9854078984834901,1.0,1
5,5_8,1,13.89,-0.25156263237634396,0.9678410210318038,1.0,1
5,5_9,1,13.89,-0.03053851320982266,-0.9995335908367129,1.0,1
